team left,team right,campeonatos,urls
NAVI,FURIA,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
Kitsune,Monarch,ESEA S52 - ZA Open,https://liquipedia.net/counterstrike/ESEA/Season_52/Open/South_Africa
Eco Warr.,nomercy,ESL Impact League S7: EU,https://liquipedia.net/counterstrike/ESL/Impact_League/Season_7/Europe
Prototype,LHC,ESL Impact League S7: EU,https://liquipedia.net/counterstrike/ESL/Impact_League/Season_7/Europe
MP,Hesta,ESEA S52 - EU Open10,https://liquipedia.net/counterstrike/ESEA/Season_52/Open10/Europe
unrated,FS,ESEA S52 - EU Main,https://liquipedia.net/counterstrike/ESEA/Season_52/Main/Europe
PLANO,Messi,ESL Impact League S7: SA,https://liquipedia.net/counterstrike/ESL/Impact_League/Season_7/South_America
MIBR Fe,Bears,ESL Impact League S7: SA,https://liquipedia.net/counterstrike/ESL/Impact_League/Season_7/South_America
BH,aYa,ECL Season 49: South America,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/South_America/Weeks_6_to_10
aYa,BH,ECL Season 49: South America,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/South_America/Weeks_6_to_10
Mindfreak,Housebets,Dfrag Invitational 2025,https://liquipedia.net/counterstrike/Dfrag/Invitational/2025
ex-TALON,Vantage,Dfrag Invitational 2025,https://liquipedia.net/counterstrike/Dfrag/Invitational/2025
Ghost,Nouns.fe,ESL Impact League S7: NA,https://liquipedia.net/counterstrike/ESL/Impact_League/Season_7/North_America
JUNERS,SN Comets,ESL Impact League S7: NA,https://liquipedia.net/counterstrike/ESL/Impact_League/Season_7/North_America
Kraken.B,LAG,ESEA S52 - NA Intermediate,https://liquipedia.net/counterstrike/ESEA/Season_52/Intermediate/North_America
Grand,MILKED,ESEA S52 - NA Main,https://liquipedia.net/counterstrike/ESEA/Season_52/Main/North_America
TBD,TBD,Dfrag Invitational 2025,https://liquipedia.net/counterstrike/Dfrag/Invitational/2025
TBD,TBD,Dfrag Invitational 2025,https://liquipedia.net/counterstrike/Dfrag/Invitational/2025
TBD,TBD,Dfrag Invitational 2025,https://liquipedia.net/counterstrike/Dfrag/Invitational/2025
Monte,Aurora,Galaxy Battle // STARTER,https://liquipedia.net/counterstrike/Galaxy_Battle/2025/STARTER
IG,GOne,EU Pro League Div. 2 S26,https://liquipedia.net/counterstrike/European_Pro_League/Season_26/Division_2
Huns,Falcons,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
Astralis.T,Lazer,EU Pro League Div. 2 S26,https://liquipedia.net/counterstrike/European_Pro_League/Season_26/Division_2
FAVBET,Apogee,Galaxy Battle // STARTER,https://liquipedia.net/counterstrike/Galaxy_Battle/2025/STARTER
FaZe,Astralis,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
Spirit,MOUZ,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
WL,Z10,Galaxy Battle // STARTER,https://liquipedia.net/counterstrike/Galaxy_Battle/2025/STARTER
Rhyno,RUSH B,A1 Gaming League Season 10,https://liquipedia.net/counterstrike/A1_Gaming_League/Season_10
RED.A,VELOX.AR,GC Liga Série A: Mar. '25,https://liquipedia.net/counterstrike/Gamers_Club/Liga_S%C3%A9rie_A/2025/March
